INFO - xla_bridge.py - 2022-05-15 17:15:40,106 - Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
INFO - xla_bridge.py - 2022-05-15 17:15:40,139 - Unable to initialize backend 'tpu': INVALID_ARGUMENT: TpuPlatform is not available.
INFO - dataset_info.py - 2022-05-15 17:15:40,146 - Load dataset info from /home/nasseraa/tensorflow_datasets/cifar10/3.0.2
INFO - dataset_builder.py - 2022-05-15 17:15:43,196 - Reusing dataset cifar10 (/home/nasseraa/tensorflow_datasets/cifar10/3.0.2)
INFO - run_lib.py - 2022-05-15 17:33:05,181 - step: 1201150, training_loss: 8.41962e+01
INFO - run_lib.py - 2022-05-15 17:33:35,508 - step: 1201200, training_loss: 8.00069e+01
INFO - run_lib.py - 2022-05-15 17:34:05,794 - step: 1201250, training_loss: 7.35900e+01
INFO - run_lib.py - 2022-05-15 17:34:36,141 - step: 1201300, training_loss: 7.93065e+01
INFO - run_lib.py - 2022-05-15 17:35:06,414 - step: 1201350, training_loss: 8.45768e+01
INFO - run_lib.py - 2022-05-15 17:35:36,751 - step: 1201400, training_loss: 8.64059e+01
INFO - run_lib.py - 2022-05-15 17:36:07,111 - step: 1201450, training_loss: 8.98263e+01
INFO - run_lib.py - 2022-05-15 17:36:37,449 - step: 1201500, training_loss: 9.99833e+01
INFO - run_lib.py - 2022-05-15 17:37:07,791 - step: 1201550, training_loss: 1.02896e+02
INFO - run_lib.py - 2022-05-15 17:37:38,120 - step: 1201600, training_loss: 9.43576e+01
INFO - run_lib.py - 2022-05-15 17:38:08,490 - step: 1201650, training_loss: 8.36094e+01
INFO - run_lib.py - 2022-05-15 17:38:38,882 - step: 1201700, training_loss: 9.23580e+01
INFO - run_lib.py - 2022-05-15 17:39:09,209 - step: 1201750, training_loss: 7.08912e+01
INFO - run_lib.py - 2022-05-15 17:39:39,568 - step: 1201800, training_loss: 9.56795e+01
INFO - run_lib.py - 2022-05-15 17:40:09,887 - step: 1201850, training_loss: 9.40862e+01
INFO - run_lib.py - 2022-05-15 17:40:40,273 - step: 1201900, training_loss: 8.82428e+01
INFO - run_lib.py - 2022-05-15 17:41:10,631 - step: 1201950, training_loss: 7.75042e+01
INFO - run_lib.py - 2022-05-15 17:41:40,997 - step: 1202000, training_loss: 9.73377e+01
INFO - run_lib.py - 2022-05-15 17:41:51,359 - step: 1202000, eval_loss: 1.18655e+02
INFO - run_lib.py - 2022-05-15 17:47:46,639 - step: 1202050, training_loss: 7.87536e+01
INFO - run_lib.py - 2022-05-15 17:48:16,998 - step: 1202100, training_loss: 8.91328e+01
INFO - run_lib.py - 2022-05-15 17:48:47,331 - step: 1202150, training_loss: 9.42867e+01
INFO - run_lib.py - 2022-05-15 17:49:17,683 - step: 1202200, training_loss: 7.75244e+01
INFO - run_lib.py - 2022-05-15 17:49:48,022 - step: 1202250, training_loss: 6.09528e+01
INFO - run_lib.py - 2022-05-15 17:50:18,364 - step: 1202300, training_loss: 8.35864e+01
INFO - run_lib.py - 2022-05-15 17:50:48,726 - step: 1202350, training_loss: 8.11930e+01
INFO - run_lib.py - 2022-05-15 17:51:19,049 - step: 1202400, training_loss: 8.30439e+01
INFO - run_lib.py - 2022-05-15 17:51:49,423 - step: 1202450, training_loss: 7.18131e+01
INFO - run_lib.py - 2022-05-15 17:52:19,750 - step: 1202500, training_loss: 1.10313e+02
INFO - run_lib.py - 2022-05-15 17:52:50,091 - step: 1202550, training_loss: 8.87783e+01
INFO - run_lib.py - 2022-05-15 17:53:20,467 - step: 1202600, training_loss: 9.11923e+01
INFO - run_lib.py - 2022-05-15 17:53:50,766 - step: 1202650, training_loss: 1.03202e+02
INFO - run_lib.py - 2022-05-15 17:54:21,067 - step: 1202700, training_loss: 6.98491e+01
INFO - run_lib.py - 2022-05-15 17:54:51,313 - step: 1202750, training_loss: 6.68252e+01
INFO - run_lib.py - 2022-05-15 17:55:21,585 - step: 1202800, training_loss: 8.66803e+01
INFO - run_lib.py - 2022-05-15 17:55:51,862 - step: 1202850, training_loss: 1.05176e+02
INFO - run_lib.py - 2022-05-15 17:56:22,091 - step: 1202900, training_loss: 8.41330e+01
INFO - run_lib.py - 2022-05-15 17:56:52,355 - step: 1202950, training_loss: 8.57927e+01
INFO - run_lib.py - 2022-05-15 17:57:22,572 - step: 1203000, training_loss: 8.92069e+01
INFO - run_lib.py - 2022-05-15 17:57:32,957 - step: 1203000, eval_loss: 9.11335e+01
INFO - run_lib.py - 2022-05-15 18:03:26,928 - step: 1203050, training_loss: 7.79337e+01
INFO - run_lib.py - 2022-05-15 18:03:57,208 - step: 1203100, training_loss: 9.03131e+01
INFO - run_lib.py - 2022-05-15 18:04:27,456 - step: 1203150, training_loss: 7.51185e+01
INFO - run_lib.py - 2022-05-15 18:04:57,700 - step: 1203200, training_loss: 9.51476e+01
INFO - run_lib.py - 2022-05-15 18:05:27,967 - step: 1203250, training_loss: 7.33890e+01
INFO - run_lib.py - 2022-05-15 18:05:58,181 - step: 1203300, training_loss: 7.41742e+01
INFO - run_lib.py - 2022-05-15 18:06:28,449 - step: 1203350, training_loss: 7.30855e+01
INFO - run_lib.py - 2022-05-15 18:06:58,697 - step: 1203400, training_loss: 7.16574e+01
INFO - run_lib.py - 2022-05-15 18:07:28,922 - step: 1203450, training_loss: 9.25814e+01
INFO - run_lib.py - 2022-05-15 18:07:59,185 - step: 1203500, training_loss: 7.46844e+01
INFO - run_lib.py - 2022-05-15 18:08:29,416 - step: 1203550, training_loss: 8.08051e+01
INFO - run_lib.py - 2022-05-15 18:08:59,691 - step: 1203600, training_loss: 1.02777e+02
INFO - run_lib.py - 2022-05-15 18:09:29,907 - step: 1203650, training_loss: 8.53406e+01
INFO - run_lib.py - 2022-05-15 18:10:00,170 - step: 1203700, training_loss: 9.51193e+01
INFO - run_lib.py - 2022-05-15 18:10:30,436 - step: 1203750, training_loss: 8.39899e+01
INFO - run_lib.py - 2022-05-15 18:11:00,648 - step: 1203800, training_loss: 8.16905e+01
INFO - run_lib.py - 2022-05-15 18:11:30,902 - step: 1203850, training_loss: 8.05549e+01
INFO - run_lib.py - 2022-05-15 18:12:01,137 - step: 1203900, training_loss: 1.17779e+02
INFO - run_lib.py - 2022-05-15 18:12:31,419 - step: 1203950, training_loss: 7.43768e+01
INFO - run_lib.py - 2022-05-15 18:13:01,693 - step: 1204000, training_loss: 8.22923e+01
INFO - run_lib.py - 2022-05-15 18:13:11,973 - step: 1204000, eval_loss: 9.42969e+01
INFO - run_lib.py - 2022-05-15 18:19:09,889 - step: 1204050, training_loss: 9.29983e+01
INFO - run_lib.py - 2022-05-15 18:19:40,203 - step: 1204100, training_loss: 9.21170e+01
INFO - run_lib.py - 2022-05-15 18:20:10,513 - step: 1204150, training_loss: 7.35343e+01
INFO - run_lib.py - 2022-05-15 18:20:40,785 - step: 1204200, training_loss: 6.64992e+01
INFO - run_lib.py - 2022-05-15 18:21:11,069 - step: 1204250, training_loss: 7.36547e+01
INFO - run_lib.py - 2022-05-15 18:21:41,364 - step: 1204300, training_loss: 9.11065e+01
INFO - run_lib.py - 2022-05-15 18:22:11,665 - step: 1204350, training_loss: 7.41973e+01
INFO - run_lib.py - 2022-05-15 18:22:41,954 - step: 1204400, training_loss: 7.27512e+01
INFO - run_lib.py - 2022-05-15 18:23:12,233 - step: 1204450, training_loss: 9.10261e+01
INFO - run_lib.py - 2022-05-15 18:23:42,517 - step: 1204500, training_loss: 9.11065e+01
INFO - run_lib.py - 2022-05-15 18:24:12,827 - step: 1204550, training_loss: 9.85307e+01
INFO - run_lib.py - 2022-05-15 18:24:42,814 - step: 1204600, training_loss: 8.77003e+01
INFO - run_lib.py - 2022-05-15 18:25:13,107 - step: 1204650, training_loss: 9.16696e+01
INFO - run_lib.py - 2022-05-15 18:25:43,379 - step: 1204700, training_loss: 7.34500e+01
INFO - run_lib.py - 2022-05-15 18:26:13,634 - step: 1204750, training_loss: 7.51337e+01
INFO - run_lib.py - 2022-05-15 18:26:43,940 - step: 1204800, training_loss: 9.86563e+01
INFO - run_lib.py - 2022-05-15 18:27:14,228 - step: 1204850, training_loss: 9.41057e+01
INFO - run_lib.py - 2022-05-15 18:27:44,532 - step: 1204900, training_loss: 7.79477e+01
INFO - run_lib.py - 2022-05-15 18:28:14,761 - step: 1204950, training_loss: 9.39694e+01
INFO - run_lib.py - 2022-05-15 18:28:44,221 - step: 1205000, training_loss: 7.41676e+01
INFO - run_lib.py - 2022-05-15 18:28:54,580 - step: 1205000, eval_loss: 1.07640e+02
INFO - run_lib.py - 2022-05-15 18:34:50,686 - step: 1205050, training_loss: 7.39822e+01
INFO - run_lib.py - 2022-05-15 18:35:21,029 - step: 1205100, training_loss: 6.66205e+01
INFO - run_lib.py - 2022-05-15 18:35:51,371 - step: 1205150, training_loss: 7.84679e+01
INFO - run_lib.py - 2022-05-15 18:36:21,622 - step: 1205200, training_loss: 7.88094e+01
INFO - run_lib.py - 2022-05-15 18:36:51,921 - step: 1205250, training_loss: 9.95775e+01
INFO - run_lib.py - 2022-05-15 18:37:22,184 - step: 1205300, training_loss: 8.29592e+01
INFO - run_lib.py - 2022-05-15 18:37:52,492 - step: 1205350, training_loss: 7.53418e+01
INFO - run_lib.py - 2022-05-15 18:38:22,791 - step: 1205400, training_loss: 8.58954e+01
INFO - run_lib.py - 2022-05-15 18:38:52,868 - step: 1205450, training_loss: 8.35605e+01
INFO - run_lib.py - 2022-05-15 18:39:22,909 - step: 1205500, training_loss: 9.11726e+01
INFO - run_lib.py - 2022-05-15 18:39:52,549 - step: 1205550, training_loss: 8.03063e+01
INFO - run_lib.py - 2022-05-15 18:40:22,841 - step: 1205600, training_loss: 7.19491e+01
INFO - run_lib.py - 2022-05-15 18:40:53,142 - step: 1205650, training_loss: 8.62912e+01
INFO - run_lib.py - 2022-05-15 18:41:23,406 - step: 1205700, training_loss: 9.17954e+01
INFO - run_lib.py - 2022-05-15 18:41:53,241 - step: 1205750, training_loss: 7.57588e+01
INFO - run_lib.py - 2022-05-15 18:42:23,537 - step: 1205800, training_loss: 8.57418e+01
INFO - run_lib.py - 2022-05-15 18:42:53,795 - step: 1205850, training_loss: 7.09010e+01
INFO - run_lib.py - 2022-05-15 18:43:24,108 - step: 1205900, training_loss: 1.09092e+02
INFO - run_lib.py - 2022-05-15 18:43:54,183 - step: 1205950, training_loss: 7.50669e+01
INFO - run_lib.py - 2022-05-15 18:44:24,472 - step: 1206000, training_loss: 8.98570e+01
INFO - run_lib.py - 2022-05-15 18:44:34,910 - step: 1206000, eval_loss: 1.08665e+02
INFO - run_lib.py - 2022-05-15 18:50:30,024 - step: 1206050, training_loss: 6.68447e+01
INFO - run_lib.py - 2022-05-15 18:50:59,589 - step: 1206100, training_loss: 8.00058e+01
INFO - run_lib.py - 2022-05-15 18:51:29,912 - step: 1206150, training_loss: 7.96499e+01
INFO - run_lib.py - 2022-05-15 18:52:00,213 - step: 1206200, training_loss: 8.19246e+01
INFO - run_lib.py - 2022-05-15 18:52:30,562 - step: 1206250, training_loss: 6.62483e+01
INFO - run_lib.py - 2022-05-15 18:53:00,865 - step: 1206300, training_loss: 7.66253e+01
INFO - run_lib.py - 2022-05-15 18:53:31,177 - step: 1206350, training_loss: 9.11314e+01
INFO - run_lib.py - 2022-05-15 18:54:01,030 - step: 1206400, training_loss: 8.24188e+01
INFO - run_lib.py - 2022-05-15 18:54:31,324 - step: 1206450, training_loss: 6.39793e+01
INFO - run_lib.py - 2022-05-15 18:55:01,650 - step: 1206500, training_loss: 7.75442e+01
INFO - run_lib.py - 2022-05-15 18:55:31,963 - step: 1206550, training_loss: 8.95844e+01
INFO - run_lib.py - 2022-05-15 18:56:02,227 - step: 1206600, training_loss: 7.94460e+01
INFO - run_lib.py - 2022-05-15 18:56:32,527 - step: 1206650, training_loss: 7.66388e+01
INFO - run_lib.py - 2022-05-15 18:57:02,811 - step: 1206700, training_loss: 7.31372e+01
INFO - run_lib.py - 2022-05-15 18:57:33,129 - step: 1206750, training_loss: 6.73535e+01
INFO - run_lib.py - 2022-05-15 18:58:03,340 - step: 1206800, training_loss: 9.03426e+01
INFO - run_lib.py - 2022-05-15 18:58:33,268 - step: 1206850, training_loss: 7.58772e+01
INFO - run_lib.py - 2022-05-15 18:59:03,300 - step: 1206900, training_loss: 1.02873e+02
INFO - run_lib.py - 2022-05-15 18:59:33,594 - step: 1206950, training_loss: 7.35868e+01
INFO - run_lib.py - 2022-05-15 19:00:03,855 - step: 1207000, training_loss: 6.54139e+01
INFO - run_lib.py - 2022-05-15 19:00:14,323 - step: 1207000, eval_loss: 1.00621e+02
INFO - run_lib.py - 2022-05-15 19:06:09,512 - step: 1207050, training_loss: 8.64608e+01
INFO - run_lib.py - 2022-05-15 19:06:39,323 - step: 1207100, training_loss: 9.69943e+01
INFO - run_lib.py - 2022-05-15 19:07:09,014 - step: 1207150, training_loss: 7.72562e+01
INFO - run_lib.py - 2022-05-15 19:07:39,139 - step: 1207200, training_loss: 1.03611e+02
INFO - run_lib.py - 2022-05-15 19:08:09,471 - step: 1207250, training_loss: 8.13436e+01
INFO - run_lib.py - 2022-05-15 19:08:39,764 - step: 1207300, training_loss: 7.64432e+01
INFO - run_lib.py - 2022-05-15 19:09:10,116 - step: 1207350, training_loss: 9.57912e+01
INFO - run_lib.py - 2022-05-15 19:09:40,439 - step: 1207400, training_loss: 7.48179e+01
INFO - run_lib.py - 2022-05-15 19:10:10,709 - step: 1207450, training_loss: 8.57199e+01
INFO - run_lib.py - 2022-05-15 19:10:41,026 - step: 1207500, training_loss: 9.97492e+01
INFO - run_lib.py - 2022-05-15 19:11:11,308 - step: 1207550, training_loss: 8.10335e+01
INFO - run_lib.py - 2022-05-15 19:11:41,627 - step: 1207600, training_loss: 8.09822e+01
INFO - run_lib.py - 2022-05-15 19:12:11,959 - step: 1207650, training_loss: 9.45510e+01
INFO - run_lib.py - 2022-05-15 19:12:42,224 - step: 1207700, training_loss: 7.56839e+01
INFO - run_lib.py - 2022-05-15 19:13:12,212 - step: 1207750, training_loss: 8.25287e+01
INFO - run_lib.py - 2022-05-15 19:13:42,170 - step: 1207800, training_loss: 9.90995e+01
INFO - run_lib.py - 2022-05-15 19:14:12,258 - step: 1207850, training_loss: 9.15127e+01
INFO - run_lib.py - 2022-05-15 19:14:42,476 - step: 1207900, training_loss: 9.44885e+01
INFO - run_lib.py - 2022-05-15 19:15:12,547 - step: 1207950, training_loss: 9.26567e+01
INFO - run_lib.py - 2022-05-15 19:15:42,350 - step: 1208000, training_loss: 7.67343e+01
INFO - run_lib.py - 2022-05-15 19:15:52,699 - step: 1208000, eval_loss: 9.23317e+01
INFO - run_lib.py - 2022-05-15 19:21:48,557 - step: 1208050, training_loss: 7.99654e+01
INFO - run_lib.py - 2022-05-15 19:22:18,852 - step: 1208100, training_loss: 1.01265e+02
INFO - run_lib.py - 2022-05-15 19:22:49,089 - step: 1208150, training_loss: 1.04736e+02
INFO - run_lib.py - 2022-05-15 19:23:19,400 - step: 1208200, training_loss: 9.22232e+01
INFO - run_lib.py - 2022-05-15 19:23:49,730 - step: 1208250, training_loss: 7.67484e+01
INFO - run_lib.py - 2022-05-15 19:24:20,009 - step: 1208300, training_loss: 6.03629e+01
INFO - run_lib.py - 2022-05-15 19:24:50,324 - step: 1208350, training_loss: 9.11461e+01
INFO - run_lib.py - 2022-05-15 19:25:20,601 - step: 1208400, training_loss: 8.40852e+01
INFO - run_lib.py - 2022-05-15 19:25:50,880 - step: 1208450, training_loss: 9.32074e+01
INFO - run_lib.py - 2022-05-15 19:26:21,208 - step: 1208500, training_loss: 8.40124e+01
INFO - run_lib.py - 2022-05-15 19:26:51,486 - step: 1208550, training_loss: 1.00296e+02
INFO - run_lib.py - 2022-05-15 19:27:21,537 - step: 1208600, training_loss: 6.54790e+01
INFO - run_lib.py - 2022-05-15 19:27:51,342 - step: 1208650, training_loss: 6.79531e+01
INFO - run_lib.py - 2022-05-15 19:28:21,155 - step: 1208700, training_loss: 8.39326e+01
INFO - run_lib.py - 2022-05-15 19:28:50,896 - step: 1208750, training_loss: 6.81444e+01
INFO - run_lib.py - 2022-05-15 19:29:21,186 - step: 1208800, training_loss: 7.65866e+01
INFO - run_lib.py - 2022-05-15 19:29:51,516 - step: 1208850, training_loss: 8.13794e+01
INFO - run_lib.py - 2022-05-15 19:30:21,828 - step: 1208900, training_loss: 8.11221e+01
INFO - run_lib.py - 2022-05-15 19:30:52,096 - step: 1208950, training_loss: 7.52197e+01
INFO - run_lib.py - 2022-05-15 19:31:22,372 - step: 1209000, training_loss: 8.01502e+01
INFO - run_lib.py - 2022-05-15 19:31:32,805 - step: 1209000, eval_loss: 8.35723e+01
INFO - run_lib.py - 2022-05-15 19:37:28,481 - step: 1209050, training_loss: 8.29626e+01
INFO - run_lib.py - 2022-05-15 19:37:58,475 - step: 1209100, training_loss: 6.98801e+01
INFO - run_lib.py - 2022-05-15 19:38:28,319 - step: 1209150, training_loss: 8.25924e+01
INFO - run_lib.py - 2022-05-15 19:38:58,096 - step: 1209200, training_loss: 8.95821e+01
INFO - run_lib.py - 2022-05-15 19:39:28,357 - step: 1209250, training_loss: 1.06406e+02
INFO - run_lib.py - 2022-05-15 19:39:58,615 - step: 1209300, training_loss: 9.06258e+01
INFO - run_lib.py - 2022-05-15 19:40:28,921 - step: 1209350, training_loss: 8.59037e+01
INFO - run_lib.py - 2022-05-15 19:40:59,164 - step: 1209400, training_loss: 9.27327e+01
INFO - run_lib.py - 2022-05-15 19:41:29,465 - step: 1209450, training_loss: 6.95706e+01
INFO - run_lib.py - 2022-05-15 19:41:59,733 - step: 1209500, training_loss: 1.05257e+02
INFO - run_lib.py - 2022-05-15 19:42:30,026 - step: 1209550, training_loss: 7.86591e+01
INFO - run_lib.py - 2022-05-15 19:43:00,240 - step: 1209600, training_loss: 9.67125e+01
INFO - run_lib.py - 2022-05-15 19:43:30,291 - step: 1209650, training_loss: 8.76850e+01
INFO - run_lib.py - 2022-05-15 19:44:00,535 - step: 1209700, training_loss: 7.26894e+01
INFO - run_lib.py - 2022-05-15 19:44:30,824 - step: 1209750, training_loss: 7.48838e+01
INFO - run_lib.py - 2022-05-15 19:45:01,074 - step: 1209800, training_loss: 8.99063e+01
INFO - run_lib.py - 2022-05-15 19:45:31,266 - step: 1209850, training_loss: 6.94990e+01
INFO - run_lib.py - 2022-05-15 19:46:01,505 - step: 1209900, training_loss: 8.76867e+01
INFO - run_lib.py - 2022-05-15 19:46:31,793 - step: 1209950, training_loss: 9.48833e+01
INFO - run_lib.py - 2022-05-15 19:47:02,034 - step: 1210000, training_loss: 8.08428e+01
INFO - run_lib.py - 2022-05-15 19:47:12,489 - step: 1210000, eval_loss: 9.34308e+01
INFO - run_lib.py - 2022-05-15 19:53:08,360 - step: 1210050, training_loss: 9.87492e+01
INFO - run_lib.py - 2022-05-15 19:53:38,660 - step: 1210100, training_loss: 7.02541e+01
INFO - run_lib.py - 2022-05-15 19:54:08,698 - step: 1210150, training_loss: 8.03853e+01
INFO - run_lib.py - 2022-05-15 19:54:38,984 - step: 1210200, training_loss: 9.88765e+01
INFO - run_lib.py - 2022-05-15 19:55:09,232 - step: 1210250, training_loss: 8.59317e+01
INFO - run_lib.py - 2022-05-15 19:55:39,384 - step: 1210300, training_loss: 9.71263e+01
INFO - run_lib.py - 2022-05-15 19:56:09,625 - step: 1210350, training_loss: 8.00571e+01
INFO - run_lib.py - 2022-05-15 19:56:39,847 - step: 1210400, training_loss: 9.50365e+01
INFO - run_lib.py - 2022-05-15 19:57:10,118 - step: 1210450, training_loss: 7.12141e+01
INFO - run_lib.py - 2022-05-15 19:57:40,359 - step: 1210500, training_loss: 8.08140e+01
INFO - run_lib.py - 2022-05-15 19:58:10,645 - step: 1210550, training_loss: 9.95427e+01
INFO - run_lib.py - 2022-05-15 19:58:40,911 - step: 1210600, training_loss: 8.06249e+01
INFO - run_lib.py - 2022-05-15 19:59:10,969 - step: 1210650, training_loss: 5.57419e+01
INFO - run_lib.py - 2022-05-15 19:59:41,240 - step: 1210700, training_loss: 7.73828e+01
INFO - run_lib.py - 2022-05-15 20:00:11,496 - step: 1210750, training_loss: 8.81424e+01
INFO - run_lib.py - 2022-05-15 20:00:41,758 - step: 1210800, training_loss: 7.75332e+01
INFO - run_lib.py - 2022-05-15 20:01:12,052 - step: 1210850, training_loss: 6.17291e+01
INFO - run_lib.py - 2022-05-15 20:01:42,296 - step: 1210900, training_loss: 8.28735e+01
INFO - run_lib.py - 2022-05-15 20:02:12,571 - step: 1210950, training_loss: 9.24677e+01
INFO - run_lib.py - 2022-05-15 20:02:42,787 - step: 1211000, training_loss: 8.33360e+01
INFO - run_lib.py - 2022-05-15 20:02:53,279 - step: 1211000, eval_loss: 9.86385e+01
INFO - run_lib.py - 2022-05-15 20:08:50,396 - step: 1211050, training_loss: 1.10081e+02
INFO - run_lib.py - 2022-05-15 20:09:20,648 - step: 1211100, training_loss: 9.64571e+01
INFO - run_lib.py - 2022-05-15 20:09:50,775 - step: 1211150, training_loss: 7.47615e+01
INFO - run_lib.py - 2022-05-15 20:10:20,953 - step: 1211200, training_loss: 8.51069e+01
INFO - run_lib.py - 2022-05-15 20:10:51,151 - step: 1211250, training_loss: 7.44131e+01
INFO - run_lib.py - 2022-05-15 20:11:21,334 - step: 1211300, training_loss: 1.06413e+02
INFO - run_lib.py - 2022-05-15 20:11:51,507 - step: 1211350, training_loss: 7.90559e+01
INFO - run_lib.py - 2022-05-15 20:12:21,757 - step: 1211400, training_loss: 7.26131e+01
INFO - run_lib.py - 2022-05-15 20:12:52,014 - step: 1211450, training_loss: 9.56396e+01
INFO - run_lib.py - 2022-05-15 20:13:22,163 - step: 1211500, training_loss: 8.36084e+01
INFO - run_lib.py - 2022-05-15 20:13:52,334 - step: 1211550, training_loss: 8.26236e+01
INFO - run_lib.py - 2022-05-15 20:14:22,563 - step: 1211600, training_loss: 7.40237e+01
INFO - run_lib.py - 2022-05-15 20:14:52,679 - step: 1211650, training_loss: 8.80548e+01
INFO - run_lib.py - 2022-05-15 20:15:22,829 - step: 1211700, training_loss: 8.59390e+01
INFO - run_lib.py - 2022-05-15 20:15:53,063 - step: 1211750, training_loss: 1.02036e+02
INFO - run_lib.py - 2022-05-15 20:16:23,316 - step: 1211800, training_loss: 8.55981e+01
INFO - run_lib.py - 2022-05-15 20:16:53,558 - step: 1211850, training_loss: 7.60215e+01
INFO - run_lib.py - 2022-05-15 20:17:23,833 - step: 1211900, training_loss: 7.85103e+01
INFO - run_lib.py - 2022-05-15 20:17:54,093 - step: 1211950, training_loss: 8.81019e+01
INFO - run_lib.py - 2022-05-15 20:18:24,305 - step: 1212000, training_loss: 8.55195e+01
INFO - run_lib.py - 2022-05-15 20:18:36,268 - step: 1212000, eval_loss: 9.80953e+01
INFO - run_lib.py - 2022-05-15 20:24:33,600 - step: 1212050, training_loss: 9.43215e+01
INFO - run_lib.py - 2022-05-15 20:25:03,820 - step: 1212100, training_loss: 6.58472e+01
INFO - run_lib.py - 2022-05-15 20:25:34,044 - step: 1212150, training_loss: 8.62894e+01
INFO - run_lib.py - 2022-05-15 20:26:04,267 - step: 1212200, training_loss: 7.69663e+01
INFO - run_lib.py - 2022-05-15 20:26:34,277 - step: 1212250, training_loss: 8.13908e+01
INFO - run_lib.py - 2022-05-15 20:27:04,510 - step: 1212300, training_loss: 8.09551e+01
INFO - run_lib.py - 2022-05-15 20:27:34,785 - step: 1212350, training_loss: 7.18055e+01
INFO - run_lib.py - 2022-05-15 20:28:05,036 - step: 1212400, training_loss: 9.88898e+01
INFO - run_lib.py - 2022-05-15 20:28:35,120 - step: 1212450, training_loss: 9.16965e+01
INFO - run_lib.py - 2022-05-15 20:29:05,227 - step: 1212500, training_loss: 6.43531e+01
INFO - run_lib.py - 2022-05-15 20:29:35,291 - step: 1212550, training_loss: 7.76985e+01
INFO - run_lib.py - 2022-05-15 20:30:05,502 - step: 1212600, training_loss: 9.59712e+01
INFO - run_lib.py - 2022-05-15 20:30:35,758 - step: 1212650, training_loss: 7.38622e+01
INFO - run_lib.py - 2022-05-15 20:31:05,977 - step: 1212700, training_loss: 7.10687e+01
INFO - run_lib.py - 2022-05-15 20:31:36,171 - step: 1212750, training_loss: 7.24310e+01
INFO - run_lib.py - 2022-05-15 20:32:06,300 - step: 1212800, training_loss: 8.16556e+01
