INFO - run_lib.py - 2022-04-25 08:19:18,281 - Starting training loop at step 2400007.
INFO - run_lib.py - 2022-04-25 08:49:28,747 - step: 2403300, training_loss: 2.07017e+02
INFO - run_lib.py - 2022-04-25 08:50:20,057 - step: 2403400, training_loss: 7.86533e+02
INFO - run_lib.py - 2022-04-25 08:51:11,685 - step: 2403500, training_loss: 3.42427e+03
INFO - run_lib.py - 2022-04-25 08:52:26,112 - step: 2403600, training_loss: 6.29001e+02
INFO - run_lib.py - 2022-04-25 08:53:19,160 - step: 2403700, training_loss: 5.88709e+03
INFO - run_lib.py - 2022-04-25 08:54:12,133 - step: 2403800, training_loss: 7.52572e+03
INFO - run_lib.py - 2022-04-25 08:55:05,113 - step: 2403900, training_loss: 6.65489e+01
INFO - run_lib.py - 2022-04-25 08:55:58,053 - step: 2404000, training_loss: 6.42058e+03
INFO - run_lib.py - 2022-04-25 08:56:08,941 - step: 2404000, eval_loss: 1.93937e+01
INFO - run_lib.py - 2022-04-25 08:57:12,253 - step: 2404100, training_loss: 1.48188e+04
INFO - run_lib.py - 2022-04-25 08:58:05,829 - step: 2404200, training_loss: 1.53484e+04
INFO - run_lib.py - 2022-04-25 08:58:59,353 - step: 2404300, training_loss: 1.73433e+04
INFO - run_lib.py - 2022-04-25 08:59:52,565 - step: 2404400, training_loss: 2.53332e+03
INFO - run_lib.py - 2022-04-25 09:00:45,651 - step: 2404500, training_loss: 6.41279e+03
INFO - run_lib.py - 2022-04-25 09:01:59,714 - step: 2404600, training_loss: 7.84941e+03
INFO - run_lib.py - 2022-04-25 09:02:52,645 - step: 2404700, training_loss: 1.25205e+04
INFO - run_lib.py - 2022-04-25 09:03:45,558 - step: 2404800, training_loss: 3.22084e+03
INFO - run_lib.py - 2022-04-25 09:04:39,302 - step: 2404900, training_loss: 3.87164e+03
INFO - run_lib.py - 2022-04-25 09:05:31,361 - step: 2405000, training_loss: 2.05939e+03
INFO - run_lib.py - 2022-04-25 09:05:42,187 - step: 2405000, eval_loss: 5.68337e+03
INFO - run_lib.py - 2022-04-25 09:06:44,125 - step: 2405100, training_loss: 1.45429e+03
INFO - run_lib.py - 2022-04-25 09:07:36,769 - step: 2405200, training_loss: 4.78669e+03
INFO - run_lib.py - 2022-04-25 09:08:29,516 - step: 2405300, training_loss: 3.90200e+03
INFO - run_lib.py - 2022-04-25 09:09:22,406 - step: 2405400, training_loss: 7.79978e+02
INFO - run_lib.py - 2022-04-25 09:10:15,221 - step: 2405500, training_loss: 6.00699e+03
INFO - run_lib.py - 2022-04-25 09:11:29,436 - step: 2405600, training_loss: 5.02642e+03
INFO - run_lib.py - 2022-04-25 09:12:22,007 - step: 2405700, training_loss: 1.01904e+04
INFO - run_lib.py - 2022-04-25 09:13:14,758 - step: 2405800, training_loss: 1.02846e+03
INFO - run_lib.py - 2022-04-25 09:14:07,158 - step: 2405900, training_loss: 6.42234e+03
INFO - run_lib.py - 2022-04-25 09:14:59,367 - step: 2406000, training_loss: 3.05657e+03
INFO - run_lib.py - 2022-04-25 09:15:10,236 - step: 2406000, eval_loss: 1.14520e+04
INFO - run_lib.py - 2022-04-25 09:16:13,451 - step: 2406100, training_loss: 2.38228e+03
INFO - run_lib.py - 2022-04-25 09:17:06,323 - step: 2406200, training_loss: 2.86786e+02
INFO - run_lib.py - 2022-04-25 09:17:59,931 - step: 2406300, training_loss: 5.45892e+03
INFO - run_lib.py - 2022-04-25 09:18:52,771 - step: 2406400, training_loss: 1.34125e+04
INFO - run_lib.py - 2022-04-25 09:19:44,648 - step: 2406500, training_loss: 2.98938e+03
INFO - run_lib.py - 2022-04-25 09:20:58,066 - step: 2406600, training_loss: 1.03599e+04
INFO - run_lib.py - 2022-04-25 09:21:50,866 - step: 2406700, training_loss: 6.17788e+03
INFO - run_lib.py - 2022-04-25 09:22:43,388 - step: 2406800, training_loss: 4.60215e+03
INFO - run_lib.py - 2022-04-25 09:23:35,999 - step: 2406900, training_loss: 1.61652e+04
INFO - run_lib.py - 2022-04-25 09:24:28,517 - step: 2407000, training_loss: 5.22723e+03
INFO - run_lib.py - 2022-04-25 09:24:39,284 - step: 2407000, eval_loss: 9.84729e+03
INFO - run_lib.py - 2022-04-25 09:25:43,670 - step: 2407100, training_loss: 1.68141e+03
INFO - run_lib.py - 2022-04-25 09:26:36,583 - step: 2407200, training_loss: 1.22752e+03
INFO - run_lib.py - 2022-04-25 09:27:29,147 - step: 2407300, training_loss: 1.00147e+04
INFO - run_lib.py - 2022-04-25 09:28:21,389 - step: 2407400, training_loss: 1.15173e+04
INFO - run_lib.py - 2022-04-25 09:29:12,926 - step: 2407500, training_loss: 4.30977e+03
INFO - run_lib.py - 2022-04-25 09:30:26,053 - step: 2407600, training_loss: 1.04971e+04
INFO - run_lib.py - 2022-04-25 09:31:18,495 - step: 2407700, training_loss: 4.66661e+01
INFO - run_lib.py - 2022-04-25 09:32:10,978 - step: 2407800, training_loss: 3.24816e+01
INFO - run_lib.py - 2022-04-25 09:33:03,407 - step: 2407900, training_loss: 1.55137e+03
INFO - run_lib.py - 2022-04-25 09:33:56,363 - step: 2408000, training_loss: 1.60296e+02
INFO - run_lib.py - 2022-04-25 09:34:07,206 - step: 2408000, eval_loss: 1.30885e+02
INFO - run_lib.py - 2022-04-25 09:35:10,726 - step: 2408100, training_loss: 4.28461e+03
INFO - run_lib.py - 2022-04-25 09:36:04,060 - step: 2408200, training_loss: 2.24801e+03
INFO - run_lib.py - 2022-04-25 09:36:56,747 - step: 2408300, training_loss: 1.98050e+02
INFO - run_lib.py - 2022-04-25 09:37:48,921 - step: 2408400, training_loss: 6.87783e+01
INFO - run_lib.py - 2022-04-25 09:38:41,176 - step: 2408500, training_loss: 8.08339e+02
INFO - run_lib.py - 2022-04-25 09:39:54,919 - step: 2408600, training_loss: 1.99711e+02
INFO - run_lib.py - 2022-04-25 09:40:47,652 - step: 2408700, training_loss: 1.85262e+03
INFO - run_lib.py - 2022-04-25 09:41:40,813 - step: 2408800, training_loss: 7.24137e+03
INFO - run_lib.py - 2022-04-25 09:42:33,770 - step: 2408900, training_loss: 6.85703e+02
INFO - run_lib.py - 2022-04-25 09:43:26,188 - step: 2409000, training_loss: 8.34526e+01
INFO - run_lib.py - 2022-04-25 09:43:37,135 - step: 2409000, eval_loss: 4.61013e+02
INFO - run_lib.py - 2022-04-25 09:44:41,364 - step: 2409100, training_loss: 1.25699e+03
INFO - run_lib.py - 2022-04-25 09:45:34,178 - step: 2409200, training_loss: 3.99962e+02
INFO - run_lib.py - 2022-04-25 09:46:27,111 - step: 2409300, training_loss: 2.57652e+03
INFO - run_lib.py - 2022-04-25 09:47:20,440 - step: 2409400, training_loss: 9.02094e+02
INFO - run_lib.py - 2022-04-25 09:48:13,572 - step: 2409500, training_loss: 6.86913e+03
INFO - run_lib.py - 2022-04-25 09:49:27,859 - step: 2409600, training_loss: 5.10931e+03
INFO - run_lib.py - 2022-04-25 09:50:20,608 - step: 2409700, training_loss: 1.03336e+03
INFO - run_lib.py - 2022-04-25 09:51:14,064 - step: 2409800, training_loss: 6.48459e+02
INFO - run_lib.py - 2022-04-25 09:52:05,942 - step: 2409900, training_loss: 1.37458e+03
INFO - run_lib.py - 2022-04-25 09:52:58,503 - step: 2410000, training_loss: 9.40687e+03
INFO - run_lib.py - 2022-04-25 09:53:09,369 - step: 2410000, eval_loss: 2.91444e+02
INFO - run_lib.py - 2022-04-25 09:54:12,515 - step: 2410100, training_loss: 1.74623e+03
INFO - run_lib.py - 2022-04-25 09:55:05,284 - step: 2410200, training_loss: 6.19480e+02
INFO - run_lib.py - 2022-04-25 09:55:57,499 - step: 2410300, training_loss: 3.14349e+01
INFO - run_lib.py - 2022-04-25 09:56:49,258 - step: 2410400, training_loss: 5.58122e+03
INFO - run_lib.py - 2022-04-25 09:57:40,355 - step: 2410500, training_loss: 4.54154e+02
INFO - run_lib.py - 2022-04-25 09:58:53,934 - step: 2410600, training_loss: 2.41268e+02
INFO - run_lib.py - 2022-04-25 09:59:47,115 - step: 2410700, training_loss: 3.92990e+02
INFO - run_lib.py - 2022-04-25 10:00:39,789 - step: 2410800, training_loss: 1.93490e+03
INFO - run_lib.py - 2022-04-25 10:01:32,087 - step: 2410900, training_loss: 5.66716e+01
INFO - run_lib.py - 2022-04-25 10:02:24,785 - step: 2411000, training_loss: 1.78075e+03
INFO - run_lib.py - 2022-04-25 10:02:35,608 - step: 2411000, eval_loss: 7.54229e+03
INFO - run_lib.py - 2022-04-25 10:03:38,873 - step: 2411100, training_loss: 1.14397e+02
INFO - run_lib.py - 2022-04-25 10:04:31,897 - step: 2411200, training_loss: 6.63169e+03
INFO - run_lib.py - 2022-04-25 10:05:24,407 - step: 2411300, training_loss: 7.24861e+02
INFO - run_lib.py - 2022-04-25 10:06:17,120 - step: 2411400, training_loss: 6.47813e+03
INFO - run_lib.py - 2022-04-25 10:07:09,877 - step: 2411500, training_loss: 1.15835e+03
INFO - run_lib.py - 2022-04-25 10:08:23,301 - step: 2411600, training_loss: 6.22947e+01
INFO - run_lib.py - 2022-04-25 10:09:16,183 - step: 2411700, training_loss: 3.13738e+03
INFO - run_lib.py - 2022-04-25 10:10:09,216 - step: 2411800, training_loss: 6.82517e+02
INFO - run_lib.py - 2022-04-25 10:11:02,004 - step: 2411900, training_loss: 4.06681e+03
INFO - run_lib.py - 2022-04-25 10:11:53,975 - step: 2412000, training_loss: 4.59652e+01
INFO - run_lib.py - 2022-04-25 10:12:05,230 - step: 2412000, eval_loss: 4.85161e+02
INFO - run_lib.py - 2022-04-25 10:13:08,983 - step: 2412100, training_loss: 1.45693e+04
INFO - run_lib.py - 2022-04-25 10:14:02,309 - step: 2412200, training_loss: 4.41133e+02
INFO - run_lib.py - 2022-04-25 10:14:55,708 - step: 2412300, training_loss: 9.68380e+03
INFO - run_lib.py - 2022-04-25 10:15:49,354 - step: 2412400, training_loss: 5.04946e+01
INFO - run_lib.py - 2022-04-25 10:16:42,411 - step: 2412500, training_loss: 5.52556e+03
INFO - run_lib.py - 2022-04-25 10:17:56,340 - step: 2412600, training_loss: 5.08113e+03
INFO - run_lib.py - 2022-04-25 10:18:49,630 - step: 2412700, training_loss: 7.59818e+03
INFO - run_lib.py - 2022-04-25 10:19:42,929 - step: 2412800, training_loss: 9.04595e+03
INFO - run_lib.py - 2022-04-25 10:20:35,983 - step: 2412900, training_loss: 3.11618e+01
INFO - run_lib.py - 2022-04-25 10:21:28,988 - step: 2413000, training_loss: 1.12005e+03
INFO - run_lib.py - 2022-04-25 10:21:39,825 - step: 2413000, eval_loss: 2.00239e+03
INFO - run_lib.py - 2022-04-25 10:22:43,392 - step: 2413100, training_loss: 4.84108e+03
INFO - run_lib.py - 2022-04-25 10:23:36,576 - step: 2413200, training_loss: 7.04773e+03
INFO - run_lib.py - 2022-04-25 10:24:29,389 - step: 2413300, training_loss: 1.26424e+04
INFO - run_lib.py - 2022-04-25 10:25:21,977 - step: 2413400, training_loss: 1.40119e+01
INFO - run_lib.py - 2022-04-25 10:26:13,066 - step: 2413500, training_loss: 7.16741e+03
INFO - run_lib.py - 2022-04-25 10:27:26,618 - step: 2413600, training_loss: 1.85906e+03
INFO - run_lib.py - 2022-04-25 10:28:19,052 - step: 2413700, training_loss: 4.51960e+03
INFO - run_lib.py - 2022-04-25 10:29:12,074 - step: 2413800, training_loss: 6.68459e+02
INFO - run_lib.py - 2022-04-25 10:30:04,688 - step: 2413900, training_loss: 1.03056e+03
INFO - run_lib.py - 2022-04-25 10:30:57,858 - step: 2414000, training_loss: 2.04450e+03
INFO - run_lib.py - 2022-04-25 10:31:08,724 - step: 2414000, eval_loss: 9.95406e+02
INFO - run_lib.py - 2022-04-25 10:32:12,382 - step: 2414100, training_loss: 5.00597e+02
INFO - run_lib.py - 2022-04-25 10:33:05,945 - step: 2414200, training_loss: 1.18615e+04
INFO - run_lib.py - 2022-04-25 10:33:59,276 - step: 2414300, training_loss: 1.16208e+02
INFO - run_lib.py - 2022-04-25 10:34:52,324 - step: 2414400, training_loss: 2.98638e+02
INFO - run_lib.py - 2022-04-25 10:35:44,484 - step: 2414500, training_loss: 7.98879e+03
INFO - run_lib.py - 2022-04-25 10:36:57,387 - step: 2414600, training_loss: 5.58260e+03
INFO - run_lib.py - 2022-04-25 10:37:49,078 - step: 2414700, training_loss: 3.94597e+03
INFO - run_lib.py - 2022-04-25 10:38:41,784 - step: 2414800, training_loss: 2.14079e+02
INFO - run_lib.py - 2022-04-25 10:39:34,451 - step: 2414900, training_loss: 7.04509e+03
INFO - run_lib.py - 2022-04-25 10:40:27,487 - step: 2415000, training_loss: 2.92041e+03
INFO - run_lib.py - 2022-04-25 10:40:38,390 - step: 2415000, eval_loss: 2.65956e+02
INFO - run_lib.py - 2022-04-25 10:41:42,441 - step: 2415100, training_loss: 2.82999e+02
INFO - run_lib.py - 2022-04-25 10:42:36,187 - step: 2415200, training_loss: 1.65446e+03
INFO - run_lib.py - 2022-04-25 10:43:29,002 - step: 2415300, training_loss: 6.49279e+03
INFO - run_lib.py - 2022-04-25 10:44:22,017 - step: 2415400, training_loss: 7.08208e+02
INFO - run_lib.py - 2022-04-25 10:45:14,359 - step: 2415500, training_loss: 5.21016e+03
INFO - run_lib.py - 2022-04-25 10:46:27,391 - step: 2415600, training_loss: 8.36968e+03
INFO - run_lib.py - 2022-04-25 10:47:19,482 - step: 2415700, training_loss: 1.05483e+04
INFO - run_lib.py - 2022-04-25 10:48:12,287 - step: 2415800, training_loss: 1.45649e+02
INFO - run_lib.py - 2022-04-25 10:49:05,305 - step: 2415900, training_loss: 9.94598e+03
INFO - run_lib.py - 2022-04-25 10:49:57,849 - step: 2416000, training_loss: 5.98494e+03
INFO - run_lib.py - 2022-04-25 10:50:08,853 - step: 2416000, eval_loss: 6.94940e+02
INFO - run_lib.py - 2022-04-25 10:51:12,268 - step: 2416100, training_loss: 8.82366e+03
INFO - run_lib.py - 2022-04-25 10:52:04,955 - step: 2416200, training_loss: 8.05493e+03
INFO - run_lib.py - 2022-04-25 10:52:57,532 - step: 2416300, training_loss: 3.48706e+02
INFO - run_lib.py - 2022-04-25 10:53:49,864 - step: 2416400, training_loss: 5.32339e+03
INFO - run_lib.py - 2022-04-25 10:54:42,252 - step: 2416500, training_loss: 5.93409e+01
INFO - run_lib.py - 2022-04-25 10:55:55,592 - step: 2416600, training_loss: 4.56779e+03
INFO - run_lib.py - 2022-04-25 10:56:47,798 - step: 2416700, training_loss: 4.66468e+01
INFO - run_lib.py - 2022-04-25 10:57:40,308 - step: 2416800, training_loss: 1.07653e+03
INFO - run_lib.py - 2022-04-25 10:58:32,693 - step: 2416900, training_loss: 5.56224e+03
INFO - run_lib.py - 2022-04-25 10:59:25,058 - step: 2417000, training_loss: 1.73283e+03
INFO - run_lib.py - 2022-04-25 10:59:36,208 - step: 2417000, eval_loss: 6.40242e+03
INFO - run_lib.py - 2022-04-25 11:00:39,339 - step: 2417100, training_loss: 9.06223e+02
INFO - run_lib.py - 2022-04-25 11:01:31,985 - step: 2417200, training_loss: 3.36112e+01
INFO - run_lib.py - 2022-04-25 11:02:25,103 - step: 2417300, training_loss: 6.34839e+02
INFO - run_lib.py - 2022-04-25 11:03:17,799 - step: 2417400, training_loss: 2.51873e+03
INFO - run_lib.py - 2022-04-25 11:04:10,762 - step: 2417500, training_loss: 9.18610e+03
INFO - run_lib.py - 2022-04-25 11:05:24,704 - step: 2417600, training_loss: 3.56395e+03
INFO - run_lib.py - 2022-04-25 11:06:17,285 - step: 2417700, training_loss: 1.76933e+02
INFO - run_lib.py - 2022-04-25 11:07:09,300 - step: 2417800, training_loss: 2.11282e+01
INFO - run_lib.py - 2022-04-25 11:08:00,541 - step: 2417900, training_loss: 2.87096e+03
INFO - run_lib.py - 2022-04-25 11:08:51,279 - step: 2418000, training_loss: 4.94387e+03
INFO - run_lib.py - 2022-04-25 11:09:02,267 - step: 2418000, eval_loss: 2.61303e+03
INFO - run_lib.py - 2022-04-25 11:10:05,496 - step: 2418100, training_loss: 3.80182e+03
INFO - run_lib.py - 2022-04-25 11:10:57,776 - step: 2418200, training_loss: 1.12069e+03
INFO - run_lib.py - 2022-04-25 11:11:49,839 - step: 2418300, training_loss: 3.95995e+01
INFO - run_lib.py - 2022-04-25 11:12:42,690 - step: 2418400, training_loss: 6.38462e+03
INFO - run_lib.py - 2022-04-25 11:13:35,877 - step: 2418500, training_loss: 3.66760e+03
INFO - run_lib.py - 2022-04-25 11:14:48,825 - step: 2418600, training_loss: 2.00868e+03
INFO - run_lib.py - 2022-04-25 11:15:40,930 - step: 2418700, training_loss: 1.24746e+02
INFO - run_lib.py - 2022-04-25 11:16:32,819 - step: 2418800, training_loss: 2.54075e+03
INFO - run_lib.py - 2022-04-25 11:17:25,517 - step: 2418900, training_loss: 3.69140e+02
INFO - run_lib.py - 2022-04-25 11:18:18,171 - step: 2419000, training_loss: 1.31807e+03
INFO - run_lib.py - 2022-04-25 11:18:29,130 - step: 2419000, eval_loss: 1.64722e+01
INFO - run_lib.py - 2022-04-25 11:19:31,752 - step: 2419100, training_loss: 1.68733e+04
INFO - run_lib.py - 2022-04-25 11:20:24,232 - step: 2419200, training_loss: 1.57180e+01
INFO - run_lib.py - 2022-04-25 11:21:15,621 - step: 2419300, training_loss: 4.37784e+02
INFO - run_lib.py - 2022-04-25 11:22:08,095 - step: 2419400, training_loss: 2.72640e+03
INFO - run_lib.py - 2022-04-25 11:23:01,148 - step: 2419500, training_loss: 1.71000e+02
INFO - run_lib.py - 2022-04-25 11:24:15,409 - step: 2419600, training_loss: 3.74477e+03
INFO - run_lib.py - 2022-04-25 11:25:08,759 - step: 2419700, training_loss: 1.83388e+01
INFO - run_lib.py - 2022-04-25 11:26:01,785 - step: 2419800, training_loss: 4.07059e+02
INFO - run_lib.py - 2022-04-25 11:26:54,002 - step: 2419900, training_loss: 1.47634e+03
INFO - run_lib.py - 2022-04-25 11:27:47,263 - step: 2420000, training_loss: 8.95574e+03
INFO - run_lib.py - 2022-04-25 11:27:58,114 - step: 2420000, eval_loss: 4.68650e+02
ning_loss: 1.83388e+01
INFO - run_lib.py - 2022-04-25 11:26:01,785 - step: 2419800, training_loss: 4.07059e+02
INFO - run_lib.py - 2022-04-25 11:26:54,002 - step: 2419900, training_loss: 1.47634e+03
INFO - run_lib.py - 2022-04-25 11:27:47,263 - step: 2420000, training_loss: 8.95574e+03
INFO - run_lib.py - 2022-04-25 11:27:58,114 - step: 2420000, eval_loss: 4.68650e+02
